#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 03 17 26 999 99.0 99.0  3.29 14.29  9.96 266 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 17 56 999 99.0 99.0  3.43 16.67 10.32 271 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 03 18 26 999 99.0 99.0  3.53 16.67 10.88 273 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 03 18 56 999 99.0 99.0  3.55 16.67 10.63 269 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 03 19 26 999 99.0 99.0  3.23 15.38 10.17 269 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 03 19 56 999 99.0 99.0  3.44 15.38 10.34 275 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 03 20 26 999 99.0 99.0  3.25 14.29  9.90 273 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 03 20 56 999 99.0 99.0  3.41 15.38 10.17 273 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 03 21 26 999 99.0 99.0  3.34 15.38 10.14 276 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 03 21 56 999 99.0 99.0  3.54 15.38 10.70 275 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 03 22 26 999 99.0 99.0  3.16 14.29 10.16 268 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 03 22 56 999 99.0 99.0  3.38 15.38 10.70 269 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 03 23 26 999 99.0 99.0  3.48 13.33 11.09 272 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 03 23 56 999 99.0 99.0  3.28 15.38 10.82 268 9999.0 999.0   8.9 999.0 99.0 99.00
2023 01 04 00 26 999 99.0 99.0  3.52 14.29 11.26 269 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 04 00 56 999 99.0 99.0  3.17 14.29 10.90 268 9999.0 999.0   8.8 999.0 99.0 99.00
2023 01 04 01 26 999 99.0 99.0  3.49 15.38 11.78 269 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 04 01 56 999 99.0 99.0  3.53 15.38 11.88 269 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 04 02 26 999 99.0 99.0  3.48 13.33 11.24 269 9999.0 999.0   8.6 999.0 99.0 99.00
2023 01 04 02 56 999 99.0 99.0  3.62 15.38 11.33 272 9999.0 999.0   8.7 999.0 99.0 99.00
2023 01 04 03 26 999 99.0 99.0  3.65 14.29 11.38 272 9999.0 999.0   9.0 999.0 99.0 99.00
2023 01 04 03 56 999 99.0 99.0  3.74 13.33 11.24 265 9999.0 999.0   9.1 999.0 99.0 99.00
2023 01 04 04 26 999 99.0 99.0  3.40 16.67 10.29 265 9999.0 999.0   9.2 999.0 99.0 99.00
2023 01 04 04 56 999 99.0 99.0  3.37 13.33  9.69 271 9999.0 999.0   9.3 999.0 99.0 99.00
2023 01 04 05 26 999 99.0 99.0  3.53 15.38  9.75 266 9999.0 999.0   9.4 999.0 99.0 99.00
